zipcode,population,county,state,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,mlabtests,mlab_d_mbps,mlabfastestavgmbps,comb_d_mbps,lowestpricedplan,partition_0,SCS,PriceSCS
33558,20064.0,Hillsborough,Florida,160.34587554269174,71.72648335745296,9.931982633863965,19353,4703,13767.0,122.58,280.71,144.64772310923047,29.99,2020-fixed,10,2.9989999999999997
48846,20269.0,Ionia,Michigan,80.02244389027432,11.703241895261845,57.46882793017456,1994,692,6139.0,34.89,101.14,45.95530101035374,55.0,2020-fixed,10,5.5
49653,1922.0,Leelanau,Michigan,60.361623616236166,10.15129151291513,30.756457564575644,1607,485,1870.0,5.33,9.77,30.76451801877812,69.99,2020-fixed,10,6.999
44135,26861.0,Cuyahoga,Ohio,129.79494382022472,38.997191011235955,27.418539325842698,7555,2435,3958.0,59.18,113.26,105.51856514911819,35.0,2020-fixed,10,3.5
58078,26321.0,Cass,North Dakota,113.5182584269663,18.94943820224719,13.060393258426966,10607,3285,21129.0,122.37,370.92,119.41151679905569,49.95,2020-fixed,10,4.995
33761,18167.0,Pinellas,Florida,141.72527472527472,35.48717948717949,11.728937728937728,12433,3401,4922.0,68.67,111.18,121.00628525838897,29.99,2020-fixed,10,2.9989999999999997
64138,25294.0,Jackson,Missouri,182.52534562211983,87.07603686635944,17.967741935483872,3728,1248,1281.0,70.57,218.14,153.89392263510936,35.0,2020-fixed,10,3.5
25168,2503.0,Putnam,West Virginia,110.5246913580247,10.561728395061728,82.3641975308642,1166,333,0.0,0.0,0.0,110.5246913580247,79.99,2020-fixed,10,7.999
29527,22027.0,Horry,South Carolina,98.99889012208656,28.663706992230853,15.556048834628191,5587,1874,2727.0,44.61,100.99,81.15928182729103,59.95,2020-fixed,10,5.995
16673,5519.0,Blair,Pennsylvania,51.697435897435895,11.22051282051282,29.6974358974359,1250,361,164.0,26.43,64.24,48.76684220070358,39.99,2020-fixed,10,3.999
12498,4851.0,Ulster,New York,135.03333333333333,12.472916666666666,25.133333333333333,3902,1038,23534.0,88.51,223.89,95.12663677892793,69.99,2020-fixed,10,6.999
23888,2275.0,Sussex,Virginia,83.6938775510204,32.795918367346935,92.93877551020408,134,61,136.0,52.63,110.5,68.04688737717309,49.0,2020-fixed,10,4.9
30563,5373.0,Habersham,Georgia,91.45601851851852,12.474537037037036,24.80787037037037,3380,880,3955.0,19.61,42.32,52.71695877199626,59.95,2020-fixed,10,5.995
92672,34464.0,Orange,California,137.98958333333334,28.559895833333332,14.940104166666666,17744,4652,45063.0,130.48,312.94,132.60157954792723,35.0,2020-fixed,10,3.5
32148,11201.0,Putnam,Florida,79.49597423510467,9.22866344605475,55.98067632850242,2495,983,101.0,46.68,115.02,78.21923563813026,79.99,2020-fixed,10,7.999
68978,2377.0,Nuckolls,Nebraska,92.08333333333333,76.71875,16.802083333333332,554,247,188.0,32.31,77.52,76.93860736747529,37.95,2020-fixed,10,3.7950000000000004
30818,555.0,Jefferson,Georgia,6.909090909090909,5.181818181818182,87.72727272727273,27,13,386.0,16.43,42.96,15.807567686550737,"",2020-fixed,10,""
72653,28560.0,Baxter,Arkansas,112.04392386530014,30.89238653001464,54.873352855051245,9285,3012,8611.0,66.25,198.61,90.00930839792757,40.0,2020-fixed,10,4.0
48130,14420.0,Washtenaw,Michigan,124.09794988610479,12.701594533029613,43.22095671981777,8355,2022,7276.0,76.15,218.35,101.77888627076997,55.0,2020-fixed,10,5.5
38474,7802.0,Maury,Tennessee,63.48571428571429,9.355102040816327,107.88163265306123,1198,389,816.0,70.95,224.28,66.50997304582211,55.0,2020-fixed,10,5.5
71060,3089.0,Caddo,Louisiana,105.7560975609756,13.634146341463415,161.08536585365854,466,127,0.0,0.0,0.0,105.7560975609756,55.0,2020-fixed,10,5.5
46550,12311.0,Elkhart,Indiana,48.94318181818182,13.761363636363637,54.84659090909091,2854,932,1879.0,32.72,79.28,42.5025820640378,69.99,2020-fixed,10,6.999
67002,13764.0,Butler,Kansas,115.26576576576576,28.32882882882883,20.20045045045045,6533,1884,4101.0,35.25,93.62,84.40770149969416,35.0,2020-fixed,10,3.5
41425,1138.0,Morgan,Kentucky,75.76068376068376,57.8034188034188,28.871794871794872,460,149,"","","","",89.95,2020-fixed,10,8.995000000000001
85635,34727.0,Cochise,Arizona,97.92697768762677,11.537525354969574,24.093306288032455,9466,2830,30890.0,79.52,215.63,83.83758476536512,65.99,2020-fixed,10,6.598999999999999
